Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23
tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,
other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,
butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,
hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,
pasta,popcorn,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,
sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,
coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,
popcorn,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,
beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,
whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,
frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,
tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,
beverages,soda,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,
whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,
finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,
whole milk,cream cheese,cereals,dog food,,,,,,,,,,,,,,,,,,,
whole milk,salt,,,,,,,,,,,,,,,,,,,,,
dessert,ice cream,,,,,,,,,,,,,,,,,,,,,
sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,
ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,
other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,
herbs,candy,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,
curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,
frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
dog food,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,
curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,,,,,,,,,,,,,,,
sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,,,,,,,,,,
curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,whole milk,dishes,,,,,,,,,,,,,,,,,,
citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,
potted plants,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,
butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,
condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,
whole milk,beverages,UHT-milk,soda,,,,,,,,,,,,,,,,,,,
sausage,pork,beef,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,
beverages,,,,,,,,,,,,,,,,,,,,,,
beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,
cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,
sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware,,,,,,,,,,,
misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,
white wine,,,,,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,
meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,
frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,
ice cream,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,
meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,
whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,
sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,
frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,,,,,,,,,,,,
